Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,No,3+,Graduate,No,7201,0,138,360,1.0,Semiurban,Y
LP000002,Female,No,0,Graduate,No,8783,1178,170,180,0.0,Rural,N
LP000003,Male,Yes,2,Not Graduate,No,2930,2104,117,120,1.0,Urban,Y
LP000004,Male,Yes,0,Graduate,No,3381,2518,134,180,1.0,Semiurban,Y
LP000005,Male,No,0,Graduate,No,7638,984,90,180,1.0,Semiurban,Y
LP000006,Male,No,0,Graduate,No,5997,1855,143,360,1.0,Semiurban,Y
LP000007,Male,Yes,1,Not Graduate,No,6613,0,100,360,1.0,Rural,Y
LP000008,Female,Yes,0,Graduate,No,6149,746,83,360,0.0,Urban,N
LP000009,Male,Yes,2,Graduate,No,6259,2525,159,360,0.0,Rural,N
LP000010,Male,Yes,0,Not Graduate,No,2481,228,156,120,1.0,Semiurban,N
LP000011,Male,Yes,3+,Not Graduate,No,7704,1894,188,360,1.0,Semiurban,Y
LP000012,Female,Yes,0,Not Graduate,Yes,7973,2514,121,60,1.0,Semiurban,Y
LP000013,Female,Yes,2,Not Graduate,No,4895,1251,167,60,1.0,Semiurban,Y
LP000014,Male,No,2,Graduate,No,5304,2072,175,360,1.0,Urban,Y
LP000015,Male,Yes,2,Not Graduate,No,2031,259,169,360,1.0,Semiurban,N
LP000016,Male,Yes,2,Graduate,No,6531,1469,99,120,1.0,Semiurban,Y
LP000017,Male,No,2,Not Graduate,No,6658,2776,153,60,1.0,Semiurban,Y
LP000018,Male,No,1,Not Graduate,No,5263,2051,165,360,0.0,Urban,N
LP000019,Male,Yes,0,Not Graduate,No,7873,861,145,360,0.0,Rural,N
LP000020,Male,Yes,0,Graduate,No,4665,2158,30,360,1.0,Semiurban,Y
LP000021,Male,Yes,3+,Graduate,Yes,6642,2943,153,180,1.0,Urban,Y
LP000022,Male,Yes,1,Graduate,No,3156,0,266,360,1.0,Semiurban,Y
LP000023,Male,Yes,2,Not Graduate,Yes,5348,3654,125,180,0.0,Rural,N
LP000024,Male,Yes,0,Not Graduate,No,5016,1261,104,360,1.0,Rural,Y
LP000025,Male,Yes,0,Graduate,No,5895,2480,165,360,1.0,Semiurban,Y
LP000026,Male,Yes,0,Graduate,No,4587,3715,162,360,1.0,Rural,Y
LP000027,Male,Yes,1,Graduate,No,5110,0,210,360,1.0,Urban,Y
LP000028,Male,Yes,0,Not Graduate,Yes,7217,664,75,360,1.0,Semiurban,Y
LP000029,Male,Yes,0,Not Graduate,No,4439,1338,185,360,1.0,Rural,Y
LP000030,Male,Yes,0,Graduate,No,1865,545,177,360,1.0,Rural,N
LP000031,Male,Yes,0,Graduate,No,9249,4575,137,360,1.0,Semiurban,Y
LP000032,Male,No,1,Not Graduate,No,8439,429,163,360,1.0,Rural,Y
LP000033,Male,Yes,0,Not Graduate,No,2557,911,201,60,1.0,Urban,Y
LP000034,Female,No,2,Graduate,No,6917,2127,192,360,0.0,Rural,N
LP000035,Female,No,0,Graduate,No,4293,0,82,360,1.0,Urban,Y
LP000036,Female,Yes,0,Graduate,No,5979,1166,190,180,0.0,Urban,N
LP000037,Male,Yes,0,Graduate,No,6047,2307,141,60,1.0,Urban,Y
LP000038,Male,Yes,0,Graduate,No,4884,1267,149,360,1.0,Semiurban,Y
LP000039,Male,Yes,0,Graduate,No,3675,1650,149,180,1.0,Urban,Y
LP000040,Male,No,0,Not Graduate,No,3880,953,136,180,1.0,Urban,Y
LP000041,Male,Yes,1,Graduate,No,3384,0,210,180,1.0,Urban,Y
LP000042,Male,Yes,0,Not Graduate,No,3569,2314,140,360,1.0,Urban,Y
LP000043,Male,Yes,1,Graduate,No,5252,4607,83,180,1.0,Semiurban,Y
LP000044,Female,Yes,2,Graduate,No,3825,1829,123,360,1.0,Semiurban,Y
LP000045,Male,Yes,2,Graduate,No,6900,2160,154,180,0.0,Urban,N
LP000046,Male,Yes,0,Graduate,No,8671,2908,212,180,0.0,Rural,N
LP000047,Male,Yes,0,Not Graduate,No,4123,0,178,360,1.0,Rural,Y
LP000048,Male,No,0,Not Graduate,No,5926,4524,98,120,0.0,Rural,N
LP000049,Male,Yes,0,Graduate,No,6499,2123,281,360,1.0,Urban,Y
LP000050,Male,Yes,3+,Graduate,Yes,6438,4410,159,120,1.0,Rural,Y
LP000051,Female,Yes,0,Not Graduate,No,5567,627,215,360,0.0,Urban,N
LP000052,Male,Yes,0,Graduate,No,7033,4708,136,360,1.0,Urban,Y
LP000053,Female,Yes,1,Graduate,No,6460,3040,174,360,1.0,Urban,Y
LP000054,Female,Yes,1,Not Graduate,No,2677,2684,191,60,1.0,Rural,Y
LP000055,Male,Yes,1,Graduate,Yes,7312,2174,212,360,0.0,Urban,N
LP000056,Female,Yes,0,Graduate,No,7352,1402,203,360,0.0,Urban,N
